"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"7/17/2017","1500249600","93358380.96875","17735.2916326334375","189.97"
"7/18/2017","1500336000","93382331.28125","21206.1936106590625","227.09"
"7/19/2017","1500422400","93406814.87500","18159.21887984875","194.41"
"7/20/2017","1500508800","93431307.68750","21146.307868911875","226.33"
"7/21/2017","1500595200","93455149.87500","20217.15257245875","216.33"
"7/22/2017","1500681600","93479457.21875","21544.2105052053125","230.47"
"7/23/2017","1500768000","93503940.50000","21348.81969496","228.32"
"7/24/2017","1500854400","93527999.40625","21088.69330612125","225.48"
"7/25/2017","1500940800","93552692.06250","19046.392577004375","203.59"
"7/26/2017","1501027200","93577207.06250","18984.94376884","202.88"
"7/27/2017","1501113600","93601559.71875","18994.5645137259375","202.93"
"7/28/2017","1501200000","93626244.87500","17902.27428254875","191.21"
"7/29/2017","1501286400","93650737.37500","19305.1630024825","206.14"
"7/30/2017","1501372800","93675455.03125","18433.456041049375","196.78"
"7/31/2017","1501459200","93699513.62500","18864.52307812125","201.33"
"8/1/2017","1501545600","93720934.09375","21171.559011778125","225.90"
"8/2/2017","1501632000","93742069.40625","20447.02017889125","218.12"
"8/3/2017","1501718400","93763035.81250","21039.487605966875","224.39"
"8/4/2017","1501804800","93784340.81250","20688.8255832375","220.60"
"8/5/2017","1501891200","93805528.62500","23741.24123970125","253.09"
"8/6/2017","1501977600","93826794.25000","24822.81668678","264.56"
"8/7/2017","1502064000","93848415.81250","25333.44136442625","269.94"
"8/8/2017","1502150400","93870051.12500","27833.40885907375","296.51"
"8/9/2017","1502236800","93891780.50000","27724.36494604","295.28"
"8/10/2017","1502323200","93913244.25000","28012.44249489","298.28"
"8/11/2017","1502409600","93935146.28125","29056.01944771625","309.32"
"8/12/2017","1502496000","93957067.21875","28940.655844719375","308.02"
"8/13/2017","1502582400","93979101.90625","27876.081207431875","296.62"
"8/14/2017","1502668800","94001140.03125","28121.38105174875","299.16"
"8/15/2017","1502755200","94023364.40625","26939.57436967875","286.52"
"8/16/2017","1502841600","94045930.18750","28343.56243990875","301.38"
"8/17/2017","1502928000","94068463.15625","28248.759485821875","300.30"
